segment_id,dataset_index,audio_ref,whisper_ht,pre_correction,corrected,notes
diag_0000,16,data/diagnostic_audio/audio/0a9b34f4_vocals.mp3_segment_68644_75377.mp3,"viè madamn la téni on kaz an pay, dèyè kaz la téni on pié piman chalè a viè fanm la","viè madamn la téni on kaz an pay, dèyè kaz la téni on pié piman chalè a viè fanm la",,
diag_0001,43,data/diagnostic_audio/audio/415dc2bd_vocals.mp3_segment_916410_919499.mp3,"Mezon asi karaje, mezon asa. Le ou vini?","Mezon asi karajé, mezon asa. Le ou vini?",,
diag_0002,70,data/diagnostic_audio/audio/10a82d81_vocals.mp3_segment_781275_787975.mp3,Men nou nou ka sevi èvè èr an nou an tout sans. dayè pou yonn menm fwaz initil la ka di wii nèg paka prononsè èr sa sé kouyonnad.,Mé nou nou ka sevi èvè èr an nou an tout sans. dayè pou yonn menm fwaz initil la ka di wii nèg paka prononsè èr sa sé kouyonnad.,,
diag_0003,71,data/diagnostic_audio/audio/c9b84dcd_vocals.mp3_segment_537381_542174.mp3,Sa ka permet mwen an konet saluyè on not fanmam ki ka poté manev Chantal L.,Sa ka permet an an konet saluyè on not fanmam ki ka poté manev Chantal I.,,
diag_0004,14,data/diagnostic_audio/audio/e4ca4d9a_vocals.mp3_segment_2239410_2242583.mp3,ouais an té vlé aille,ouais an té vlé aillé,,
diag_0005,31,data/diagnostic_audio/audio/448c719b_vocals.mp3_segment_880467_890710.mp3,"Koi chanjé et quante la sa? Grand guel, gros vent, jambes fines. Mais voilà. Jambes en moins fines. C'est ça qui est marqué en les premières phrases-là. Donc, Adam jambes. On y en.","Koi chanjé et quanté la sa? Grand guel, gros vent, jambes fines. Mais voilà. Jambes en moins fines. C'est ça qui est marqué en les premières phrases-là. Donc, Adam jambes. On y en.",,
diag_0006,77,data/diagnostic_audio/audio/418868cf_vocals.mp3_segment_271296_273574.mp3,"Pli adoumanman, cé gaté.","Pli adoumanman, cé gaté.",,
diag_0007,57,data/diagnostic_audio/audio/442284b4_vocals.mp3,"é en mèmntan an komewsan an ka venn, alos an ka trouvéw entre les dé, fo fè komprenn anmenn tan on ti éfow pou nou ékilibré pa rapow à fwi la é kalité à pwoduila","é en mèmntan an komewsan an ka venn, alos an ka trouvéw entré les dé, fo fè komprenn anmenn tan on ti éfow pou nou ékilibré pa rapow à fwi la é kalité à pwoduila",,
diag_0008,76,data/diagnostic_audio/audio/f730f158_vocals.mp3_segment_713742_715885.mp3,é i baléyé douvan pot la ban mwen,é i baléyé douvan pot la ban an,,
diag_0009,68,data/diagnostic_audio/audio/70907809_vocals.mp3_segment_231674_235892.mp3,"I vwé ankadans, misik sidéral","I vwé ankadans, misik sidéral",,
diag_0010,60,data/diagnostic_audio/audio/7620c6fc_vocals.mp3_segment_122847_124855.mp3,La vi té téké pli bèl!,La vi té téké pli bèl!,,
diag_0011,33,data/diagnostic_audio/audio/0a9b34f4_vocals.mp3_segment_65590_68610.mp3,Lari zabim teni an vyé mandam.,Lari zabim teni an vyé mandam.,,
diag_0012,0,data/diagnostic_audio/audio/3d0602e9_vocals.mp3_segment_573679_576177.mp3,"On jenn tirè asi on jenn,","On jenn tirè asi on jenn,",,
diag_0013,11,data/diagnostic_audio/audio/8a9dcb78_vocals.mp3,Sé dé moun ki répond lè la gwadeloup té bizoin yo é yo toujou té sa rété à place à yo mè yo té ka passé à dan on fonction donèw dabô sans avansé é san fè les otes avansé. pas yo ni un pwinsip ki di ou ka najé fo ou kaye o laje,Sé dé moun ki répond lè la gwadeloup té bizoin yo é yo toujou té sa rété à placé à yo mè yo té ka passé à dan on fonction donèw dabô sans avansé é san fè les otes avansé. pas yo ni un pwinsip ki di ou ka najé fo ou kayé o lajé,,
diag_0014,15,data/diagnostic_audio/audio/c4e42530_vocals.mp3,"Ou antwé andidan kò a moun-la ou ka pran pis ki on blan, pis ki on fransé, pis ki sa si, pis ki sa la, pis ki tout biten.","Ou antwé andidan kò a moun-la ou ka pran pis ki on blan, pis ki on fransé, pis ki sa si, pis ki sa la, pis ki tout biten.",,
diag_0015,39,data/diagnostic_audio/audio/e2a666d6_vocals.mp3,"Nou an twa chimen karak,lolo a Mikaela ka rezisté, i la dépi 55 lanné","Nou an twa chimen karak, lolo a Mikaela ka rezisté, i la dépi 55 lanné",,
diag_0016,13,data/diagnostic_audio/audio/22fc5ae0_vocals.mp3_segment_290449_294887.mp3,"An, pa menm biten ki ann, davwa lè ou ka kriyé Lilian ou pa kriyé Liliann.","An, pa menm biten ki ann, davwa lè ou ka kriyé Lilian ou pa kriyé Liliann.",,
diag_0017,80,data/diagnostic_audio/audio/1462388b_vocals.mp3_segment_40514_42741.mp3,"qu'est-ce que le monsieur veut dire? maman, nous allons voler les mandarines de M. Robert, Nous allons voler les mandarines de M. Robert? aïe bon dieu seigneur l'abé""","qu'est-ce qué le monsieur veut diré? maman, nous allons voler les mandarines de An. Robert, Nous allons voler les mandarines de An. Robert? aïé bon dieu seigneur l'abé """,,
diag_0018,73,data/diagnostic_audio/audio/9448e063_vocals.mp3_segment_106782_110460.mp3,Kempé asi mès é labitid!. Kampo.,Kempé asi mès é labitid!. Kampo.,,
diag_0019,56,data/diagnostic_audio/audio/0776d9f1_vocals.mp3,viande haché an ka mette lasagne au légume exetera et donc an pas aussi,viandé haché an ka metté lasagné au légumé exetera et donc an pas aussi,,
diag_0020,61,data/diagnostic_audio/audio/b960f232_vocals.mp3_segment_65337_69319.mp3,Ô! Sonjé mwen!,Ô! Sonjé an!,,
